TestID,UseCase,StartDate,EndDate,Variant,Model,Metric,MetricValue,SampleSize,PValue,Winner
T0001,Customer Support Bot,2025-03-03,2025-03-09,A,Custom Fine-tuned,ConversionRate,0.99,19728,1.0,Inconclusive
T0001,Customer Support Bot,2025-03-03,2025-03-09,B,Gemini-Pro,ConversionRate,0.99,20341,1.0,Inconclusive
T0002,Customer Support Bot,2025-03-10,2025-03-16,A,GPT-4,ConversionRate,0.894,23154,0.0,B
T0002,Customer Support Bot,2025-03-10,2025-03-16,B,Claude-3.5,ConversionRate,0.9861,21567,0.0,B
T0003,Customer Support Bot,2025-03-17,2025-03-23,A,Custom Fine-tuned,ConversionRate,0.99,19425,0.0,A
T0003,Customer Support Bot,2025-03-17,2025-03-23,B,GPT-4,ConversionRate,0.9066,23474,0.0,A
T0004,Customer Support Bot,2025-03-24,2025-03-30,A,Gemini-Pro,ConversionRate,0.99,21807,1.0,Inconclusive
T0004,Customer Support Bot,2025-03-24,2025-03-30,B,Custom Fine-tuned,ConversionRate,0.99,20038,1.0,Inconclusive
T0005,Customer Support Bot,2025-03-31,2025-04-06,A,Custom Fine-tuned,ConversionRate,0.99,20515,0.0,A
T0005,Customer Support Bot,2025-03-31,2025-04-06,B,Claude-3.5,ConversionRate,0.9619,21112,0.0,A
T0006,Customer Support Bot,2025-04-07,2025-04-13,A,Gemini-Pro,ConversionRate,0.981,21240,0.0,A
T0006,Customer Support Bot,2025-04-07,2025-04-13,B,Claude-3.5,ConversionRate,0.959,22601,0.0,A
T0007,Customer Support Bot,2025-04-14,2025-04-20,A,Claude-3.5,ConversionRate,0.99,21335,0.0,A
T0007,Customer Support Bot,2025-04-14,2025-04-20,B,GPT-4,ConversionRate,0.9287,23955,0.0,A
T0008,Customer Support Bot,2025-04-21,2025-04-27,A,Custom Fine-tuned,ConversionRate,0.99,19713,0.0,A
T0008,Customer Support Bot,2025-04-21,2025-04-27,B,Gemini-Pro,ConversionRate,0.9824,22892,0.0,A
T0009,Customer Support Bot,2025-04-28,2025-05-04,A,Claude-3.5,ConversionRate,0.9794,22833,0.0,A
T0009,Customer Support Bot,2025-04-28,2025-05-04,B,GPT-4,ConversionRate,0.917,22271,0.0,A
T0010,Customer Support Bot,2025-05-05,2025-05-11,A,Gemini-Pro,ConversionRate,0.99,22559,1.0,Inconclusive
T0010,Customer Support Bot,2025-05-05,2025-05-11,B,Custom Fine-tuned,ConversionRate,0.99,19596,1.0,Inconclusive
T0011,Customer Support Bot,2025-05-12,2025-05-18,A,Custom Fine-tuned,ConversionRate,0.99,20939,0.0,A
T0011,Customer Support Bot,2025-05-12,2025-05-18,B,GPT-4,ConversionRate,0.9153,22050,0.0,A
T0012,Customer Support Bot,2025-05-19,2025-05-25,A,Claude-3.5,ConversionRate,0.9808,24274,0.0,B
T0012,Customer Support Bot,2025-05-19,2025-05-25,B,Gemini-Pro,ConversionRate,0.99,22129,0.0,B
T0013,Customer Support Bot,2025-05-26,2025-06-01,A,GPT-4,ConversionRate,0.9004,23894,0.0,B
T0013,Customer Support Bot,2025-05-26,2025-06-01,B,Claude-3.5,ConversionRate,0.982,22222,0.0,B
T0014,Customer Support Bot,2025-06-02,2025-06-08,A,Claude-3.5,ConversionRate,0.9741,24340,0.0,B
T0014,Customer Support Bot,2025-06-02,2025-06-08,B,Gemini-Pro,ConversionRate,0.99,20377,0.0,B
T0015,Customer Support Bot,2025-06-09,2025-06-15,A,Custom Fine-tuned,ConversionRate,0.99,20565,0.0,A
T0015,Customer Support Bot,2025-06-09,2025-06-15,B,GPT-4,ConversionRate,0.9132,24221,0.0,A
T0016,Customer Support Bot,2025-06-16,2025-06-22,A,Claude-3.5,ConversionRate,0.9737,22728,0.0,B
T0016,Customer Support Bot,2025-06-16,2025-06-22,B,Custom Fine-tuned,ConversionRate,0.99,21810,0.0,B
T0017,Customer Support Bot,2025-06-23,2025-06-29,A,GPT-4,ConversionRate,0.9044,24565,0.0,B
T0017,Customer Support Bot,2025-06-23,2025-06-29,B,Custom Fine-tuned,ConversionRate,0.99,20835,0.0,B
T0018,Customer Support Bot,2025-06-30,2025-07-06,A,GPT-4,ConversionRate,0.9351,24075,0.0,B
T0018,Customer Support Bot,2025-06-30,2025-07-06,B,Custom Fine-tuned,ConversionRate,0.99,20353,0.0,B
T0019,Customer Support Bot,2025-07-07,2025-07-13,A,Custom Fine-tuned,ConversionRate,0.99,19124,1.0,Inconclusive
T0019,Customer Support Bot,2025-07-07,2025-07-13,B,Gemini-Pro,ConversionRate,0.99,21137,1.0,Inconclusive
T0020,Customer Support Bot,2025-07-14,2025-07-20,A,Claude-3.5,ConversionRate,0.99,22824,1.0,Inconclusive
T0020,Customer Support Bot,2025-07-14,2025-07-20,B,Custom Fine-tuned,ConversionRate,0.99,20494,1.0,Inconclusive
T0021,Customer Support Bot,2025-07-21,2025-07-27,A,Custom Fine-tuned,ConversionRate,0.99,18888,1.0,Inconclusive
T0021,Customer Support Bot,2025-07-21,2025-07-27,B,Gemini-Pro,ConversionRate,0.99,21578,1.0,Inconclusive
T0022,Customer Support Bot,2025-07-28,2025-08-03,A,GPT-4,ConversionRate,0.9235,25700,0.0,B
T0022,Customer Support Bot,2025-07-28,2025-08-03,B,Gemini-Pro,ConversionRate,0.99,22612,0.0,B
T0023,Customer Support Bot,2025-08-04,2025-08-10,A,Gemini-Pro,ConversionRate,0.99,21339,0.0,A
T0023,Customer Support Bot,2025-08-04,2025-08-10,B,GPT-4,ConversionRate,0.91,24691,0.0,A
T0024,Customer Support Bot,2025-08-11,2025-08-17,A,Claude-3.5,ConversionRate,0.99,22681,0.0,A
T0024,Customer Support Bot,2025-08-11,2025-08-17,B,GPT-4,ConversionRate,0.9189,23411,0.0,A
T0025,Customer Support Bot,2025-08-18,2025-08-24,A,GPT-4,ConversionRate,0.8941,25290,0.0,B
T0025,Customer Support Bot,2025-08-18,2025-08-24,B,Claude-3.5,ConversionRate,0.99,21730,0.0,B
T0026,Content Generation,2025-03-03,2025-03-09,A,Custom Fine-tuned,ConversionRate,0.99,10644,0.0,A
