Date,Model,UseCase,TimeSavedHours,ValueGeneratedUSD,CostAvoidedUSD,RiskIncidents,CSATDeltaPct
2025-03-01,Claude-3.5,Code Review Assistant,41.0,1845.17,5.67,1,0.0076
2025-03-01,Claude-3.5,Content Generation,95.8,4310.98,10.08,0,0.033
2025-03-01,Claude-3.5,Customer Support Bot,138.02,6210.73,13.38,0,0.0324
2025-03-01,Claude-3.5,Data Analysis Tool,43.83,1972.46,3.67,0,0.0179
2025-03-01,Custom Fine-tuned,Code Review Assistant,35.98,1619.04,6.17,0,0.0208
2025-03-01,Custom Fine-tuned,Content Generation,79.11,3559.83,8.67,0,0.0402
2025-03-01,Custom Fine-tuned,Customer Support Bot,128.55,5784.69,21.97,0,0.018
2025-03-01,Custom Fine-tuned,Data Analysis Tool,45.9,2065.31,4.49,0,0.0275
2025-03-01,GPT-4,Code Review Assistant,37.66,1694.88,4.18,0,0.0229
2025-03-01,GPT-4,Content Generation,90.34,4065.13,8.49,0,0.0069
2025-03-01,GPT-4,Customer Support Bot,156.24,7030.79,19.92,0,0.0285
2025-03-01,GPT-4,Data Analysis Tool,47.98,2159.07,4.84,0,0.0085
2025-03-01,Gemini-Pro,Code Review Assistant,36.32,1634.62,4.22,1,0.0228
2025-03-01,Gemini-Pro,Content Generation,83.89,3775.15,5.3,0,0.0253
2025-03-01,Gemini-Pro,Customer Support Bot,141.74,6378.26,10.42,0,0.022
2025-03-01,Gemini-Pro,Data Analysis Tool,42.56,1915.03,3.04,0,0.0123
2025-03-02,Claude-3.5,Code Review Assistant,40.3,1813.4,4.35,0,0.0198
2025-03-02,Claude-3.5,Content Generation,86.8,3905.86,7.14,0,0.0106
2025-03-02,Claude-3.5,Customer Support Bot,124.96,5623.12,10.2,0,0.0168
2025-03-02,Claude-3.5,Data Analysis Tool,46.56,2095.2,4.15,1,0.0118
2025-03-02,Custom Fine-tuned,Code Review Assistant,33.02,1485.74,6.61,0,0.0426
2025-03-02,Custom Fine-tuned,Content Generation,80.96,3643.09,11.88,1,0.0179
2025-03-02,Custom Fine-tuned,Customer Support Bot,118.48,5331.44,18.6,0,0.0223
2025-03-02,Custom Fine-tuned,Data Analysis Tool,50.65,2279.43,3.79,0,0.0219
2025-03-02,GPT-4,Code Review Assistant,43.03,1936.27,5.75,0,0.0169
2025-03-02,GPT-4,Content Generation,87.04,3916.83,8.18,0,0.0279
2025-03-02,GPT-4,Customer Support Bot,149.29,6718.01,21.45,0,0.0169
2025-03-02,GPT-4,Data Analysis Tool,47.0,2115.05,2.98,0,0.0317
2025-03-02,Gemini-Pro,Code Review Assistant,39.4,1772.96,2.91,1,0.0133
2025-03-02,Gemini-Pro,Content Generation,87.29,3928.17,7.61,0,0.0233
2025-03-02,Gemini-Pro,Customer Support Bot,133.46,6005.54,13.18,0,0.0122
2025-03-02,Gemini-Pro,Data Analysis Tool,41.27,1856.96,1.02,0,0.016
2025-03-03,Claude-3.5,Code Review Assistant,46.48,2091.73,5.03,0,0.0371
2025-03-03,Claude-3.5,Content Generation,114.93,5171.7,10.92,0,0.0069
2025-03-03,Claude-3.5,Customer Support Bot,167.76,7549.36,19.0,0,0.0352
2025-03-03,Claude-3.5,Data Analysis Tool,60.69,2730.87,4.0,0,0.0514
2025-03-03,Custom Fine-tuned,Code Review Assistant,42.5,1912.4,5.76,0,0.0084
2025-03-03,Custom Fine-tuned,Content Generation,99.63,4483.32,10.23,0,0.0095
2025-03-03,Custom Fine-tuned,Customer Support Bot,158.92,7151.22,22.67,0,0.0262
2025-03-03,Custom Fine-tuned,Data Analysis Tool,54.56,2455.39,6.52,0,-0.0012
2025-03-03,GPT-4,Code Review Assistant,55.56,2500.1,7.9,0,0.0237
2025-03-03,GPT-4,Content Generation,108.17,4867.69,11.33,0,0.0131
2025-03-03,GPT-4,Customer Support Bot,196.62,8847.76,27.76,0,0.0361
2025-03-03,GPT-4,Data Analysis Tool,59.92,2696.28,3.55,0,0.0172
2025-03-03,Gemini-Pro,Code Review Assistant,40.08,1803.74,4.67,0,0.0203
2025-03-03,Gemini-Pro,Content Generation,104.34,4695.49,6.54,0,0.0247
2025-03-03,Gemini-Pro,Customer Support Bot,156.52,7043.61,15.9,0,0.0253
2025-03-03,Gemini-Pro,Data Analysis Tool,49.74,2238.13,3.53,0,0.0169
2025-03-04,Claude-3.5,Code Review Assistant,45.48,2046.8,3.75,0,0.0282
2025-03-04,Claude-3.5,Content Generation,112.31,5053.8,7.21,0,0.0057
2025-03-04,Claude-3.5,Customer Support Bot,188.99,8504.66,11.29,1,0.0156
2025-03-04,Claude-3.5,Data Analysis Tool,58.16,2617.27,5.59,0,0.0262
