Date,Model,UseCase,TokenCostUSD,InfraCostUSD,LicenseCostUSD,MonitoringCostUSD,StorageCostUSD,BudgetUSD,TotalCostUSD
2025-03-01,Claude-3.5,Code Review Assistant,9.81,33.33,66.67,10.0,6.67,333.33,126.48
2025-03-01,Claude-3.5,Content Generation,32.04,33.33,66.67,10.0,6.67,400.0,148.71
2025-03-01,Claude-3.5,Customer Support Bot,17.84,33.33,66.67,10.0,6.67,500.0,134.51
2025-03-01,Claude-3.5,Data Analysis Tool,7.89,33.33,66.67,10.0,6.67,300.0,124.56
2025-03-01,Custom Fine-tuned,Code Review Assistant,7.26,26.67,50.0,10.0,6.67,333.33,100.6
2025-03-01,Custom Fine-tuned,Content Generation,26.0,26.67,50.0,10.0,6.67,400.0,119.34
2025-03-01,Custom Fine-tuned,Customer Support Bot,11.85,26.67,50.0,10.0,6.67,500.0,105.19
2025-03-01,Custom Fine-tuned,Data Analysis Tool,7.15,26.67,50.0,10.0,6.67,300.0,100.49
2025-03-01,GPT-4,Code Review Assistant,11.69,40.0,83.33,10.0,6.67,333.33,151.69
2025-03-01,GPT-4,Content Generation,41.16,40.0,83.33,10.0,6.67,400.0,181.16
2025-03-01,GPT-4,Customer Support Bot,28.69,40.0,83.33,10.0,6.67,500.0,168.69
2025-03-01,GPT-4,Data Analysis Tool,9.7,40.0,83.33,10.0,6.67,300.0,149.7
2025-03-01,Gemini-Pro,Code Review Assistant,9.96,30.0,60.0,10.0,6.67,333.33,116.63
2025-03-01,Gemini-Pro,Content Generation,16.49,30.0,60.0,10.0,6.67,400.0,123.16
2025-03-01,Gemini-Pro,Customer Support Bot,16.35,30.0,60.0,10.0,6.67,500.0,123.02
2025-03-01,Gemini-Pro,Data Analysis Tool,6.85,30.0,60.0,10.0,6.67,300.0,113.52
2025-03-02,Claude-3.5,Code Review Assistant,10.2,33.33,66.67,10.0,6.67,333.33,126.87
2025-03-02,Claude-3.5,Content Generation,24.65,33.33,66.67,10.0,6.67,400.0,141.32
2025-03-02,Claude-3.5,Customer Support Bot,18.24,33.33,66.67,10.0,6.67,500.0,134.91
2025-03-02,Claude-3.5,Data Analysis Tool,8.87,33.33,66.67,10.0,6.67,300.0,125.54
2025-03-02,Custom Fine-tuned,Code Review Assistant,6.49,26.67,50.0,10.0,6.67,333.33,99.83
2025-03-02,Custom Fine-tuned,Content Generation,26.63,26.67,50.0,10.0,6.67,400.0,119.97
2025-03-02,Custom Fine-tuned,Customer Support Bot,11.49,26.67,50.0,10.0,6.67,500.0,104.83
2025-03-02,Custom Fine-tuned,Data Analysis Tool,5.32,26.67,50.0,10.0,6.67,300.0,98.66
2025-03-02,GPT-4,Code Review Assistant,12.92,40.0,83.33,10.0,6.67,333.33,152.92
2025-03-02,GPT-4,Content Generation,47.39,40.0,83.33,10.0,6.67,400.0,187.39
2025-03-02,GPT-4,Customer Support Bot,19.29,40.0,83.33,10.0,6.67,500.0,159.29
2025-03-02,GPT-4,Data Analysis Tool,12.37,40.0,83.33,10.0,6.67,300.0,152.37
2025-03-02,Gemini-Pro,Code Review Assistant,11.02,30.0,60.0,10.0,6.67,333.33,117.69
2025-03-02,Gemini-Pro,Content Generation,31.46,30.0,60.0,10.0,6.67,400.0,138.13
