Date,Model,UseCase,Requests,PromptTokens,CompletionTokens,Accuracy,F1Score,HallucinationRate,LatencyP95ms,Failures
2025-03-01,GPT-4,Customer Support Bot,3122,761768,702450,0.9352,0.9076,0.0281,1764,23
2025-03-01,GPT-4,Content Generation,1458,944784,1057050,0.9153,0.901,0.0309,1513,3
2025-03-01,GPT-4,Code Review Assistant,916,382888,261976,0.9059,0.9001,0.0372,1766,4
2025-03-01,GPT-4,Data Analysis Tool,723,219792,250158,0.9238,0.8852,0.0265,1756,2
2025-03-01,Claude-3.5,Customer Support Bot,2822,592620,654704,0.8878,0.8658,0.0363,1206,8
2025-03-01,Claude-3.5,Content Generation,1560,959400,1218360,0.897,0.8664,0.0277,1392,6
2025-03-01,Claude-3.5,Code Review Assistant,1002,294588,372744,0.8961,0.8668,0.0317,1591,6
2025-03-01,Claude-3.5,Data Analysis Tool,665,190190,318535,0.9098,0.9017,0.0324,1472,2
2025-03-01,Gemini-Pro,Customer Support Bot,2895,868500,570315,0.89,0.8547,0.042,1303,16
2025-03-01,Gemini-Pro,Content Generation,1372,1015280,521360,0.8882,0.8881,0.0407,1355,7
2025-03-01,Gemini-Pro,Code Review Assistant,897,377637,406341,0.8748,0.8515,0.0365,1324,5
2025-03-01,Gemini-Pro,Data Analysis Tool,652,210596,298616,0.8897,0.8843,0.0367,1350,2
2025-03-01,Custom Fine-tuned,Customer Support Bot,2603,674177,520600,0.9077,0.8957,0.0178,1136,11
2025-03-01,Custom Fine-tuned,Content Generation,1279,813444,1408179,0.9117,0.892,0.0261,1188,2
2025-03-01,Custom Fine-tuned,Code Review Assistant,872,476984,292992,0.913,0.8855,0.0246,1024,5
2025-03-01,Custom Fine-tuned,Data Analysis Tool,701,181559,403776,0.896,0.8816,0.028,1528,2
2025-03-02,GPT-4,Customer Support Bot,3004,693924,411548,0.9207,0.8852,0.0243,1871,10
2025-03-02,GPT-4,Content Generation,1410,805110,1311300,0.9077,0.8858,0.031,1996,3
2025-03-02,GPT-4,Code Review Assistant,1046,466516,275098,0.9068,0.8833,0.0325,1844,5
2025-03-02,GPT-4,Data Analysis Tool,712,220720,338912,0.9129,0.8863,0.0391,1871,2
2025-03-02,Claude-3.5,Customer Support Bot,2550,711450,627300,0.8918,0.8528,0.04,1561,15
2025-03-02,Claude-3.5,Content Generation,1417,753844,930969,0.8918,0.8636,0.0348,1551,7
2025-03-02,Claude-3.5,Code Review Assistant,970,472390,321070,0.9272,0.9024,0.0376,1371,3
2025-03-02,Claude-3.5,Data Analysis Tool,710,235720,349320,0.8993,0.8707,0.0308,1272,3
2025-03-02,Gemini-Pro,Customer Support Bot,2734,555002,563204,0.8839,0.8753,0.0359,1423,13
2025-03-02,Gemini-Pro,Content Generation,1426,926900,1387498,0.8905,0.8654,0.0333,1259,8
2025-03-02,Gemini-Pro,Code Review Assistant,965,608915,375385,0.8914,0.8638,0.0449,1497,4
2025-03-02,Gemini-Pro,Data Analysis Tool,635,183515,257810,0.8808,0.8769,0.052,1119,3
2025-03-02,Custom Fine-tuned,Customer Support Bot,2409,698610,486618,0.8992,0.8771,0.0214,1301,9
2025-03-02,Custom Fine-tuned,Content Generation,1306,706546,1492758,0.9163,0.8878,0.0145,1227,5
2025-03-02,Custom Fine-tuned,Code Review Assistant,798,313614,307230,0.9187,0.9052,0.0186,1149,3
2025-03-02,Custom Fine-tuned,Data Analysis Tool,765,243270,257040,0.9192,0.904,0.0352,1354,2
2025-03-03,GPT-4,Customer Support Bot,3943,879289,855631,0.9277,0.918,0.0248,1791,3
2025-03-03,GPT-4,Content Generation,1754,854198,1860994,0.9057,0.9001,0.0277,1819,12
2025-03-03,GPT-4,Code Review Assistant,1339,535600,376259,0.9246,0.9085,0.0305,1709,6
2025-03-03,GPT-4,Data Analysis Tool,910,299390,538720,0.9076,0.8817,0.0405,1507,4
2025-03-03,Claude-3.5,Customer Support Bot,3418,772468,652838,0.8951,0.882,0.0322,1627,18
2025-03-03,Claude-3.5,Content Generation,1863,1168101,1732590,0.9063,0.8802,0.0307,1415,11
2025-03-03,Claude-3.5,Code Review Assistant,1137,462759,499143,0.8941,0.8631,0.0379,1469,5
2025-03-03,Claude-3.5,Data Analysis Tool,925,310800,524475,0.9002,0.8815,0.0384,1453,5
2025-03-03,Gemini-Pro,Customer Support Bot,3180,864960,531060,0.9009,0.873,0.035,1217,21
2025-03-03,Gemini-Pro,Content Generation,1721,1128976,1373358,0.871,0.8525,0.041,1298,11
2025-03-03,Gemini-Pro,Code Review Assistant,990,376200,374220,0.8744,0.8594,0.0364,1436,5
2025-03-03,Gemini-Pro,Data Analysis Tool,771,239010,245949,0.8659,0.8312,0.0371,1367,4
2025-03-03,Custom Fine-tuned,Customer Support Bot,3230,788120,642770,0.9,0.8882,0.0249,1156,17
2025-03-03,Custom Fine-tuned,Content Generation,1609,1185833,1258238,0.914,0.8939,0.0282,1139,8
2025-03-03,Custom Fine-tuned,Code Review Assistant,1029,363237,361179,0.915,0.9027,0.032,1343,8
2025-03-03,Custom Fine-tuned,Data Analysis Tool,831,255948,537657,0.9019,0.8872,0.0208,1110,1
2025-03-04,GPT-4,Customer Support Bot,3234,824670,688842,0.9388,0.9138,0.034,1713,11
2025-03-04,GPT-4,Content Generation,1562,1193368,1543256,0.9153,0.8829,0.0211,2003,7
2025-03-04,GPT-4,Code Review Assistant,1008,366912,352800,0.9205,0.9019,0.0273,1893,3
2025-03-04,GPT-4,Data Analysis Tool,910,293930,467740,0.9088,0.8962,0.0222,1991,5
2025-03-04,Claude-3.5,Customer Support Bot,3840,975360,948480,0.9007,0.871,0.0453,1763,17
2025-03-04,Claude-3.5,Content Generation,1820,1315860,1173900,0.9069,0.9073,0.0402,1236,5
2025-03-04,Claude-3.5,Code Review Assistant,1109,491287,504595,0.9007,0.8813,0.0431,1292,2
2025-03-04,Claude-3.5,Data Analysis Tool,887,264326,233281,0.8991,0.8885,0.0285,1600,4
2025-03-04,Gemini-Pro,Customer Support Bot,2988,627480,588636,0.8896,0.8775,0.0353,1475,12
2025-03-04,Gemini-Pro,Content Generation,1602,810612,1139022,0.868,0.8459,0.0505,1405,6
2025-03-04,Gemini-Pro,Code Review Assistant,1067,411862,418264,0.8876,0.8906,0.0376,1313,4
2025-03-04,Gemini-Pro,Data Analysis Tool,687,248007,410826,0.8775,0.8463,0.0433,1446,6
2025-03-04,Custom Fine-tuned,Customer Support Bot,2936,628304,396360,0.912,0.9029,0.021,986,11
2025-03-04,Custom Fine-tuned,Content Generation,1788,1214052,1426824,0.9248,0.8994,0.0249,1070,13
2025-03-04,Custom Fine-tuned,Code Review Assistant,914,354632,263232,0.8962,0.8705,0.0297,1486,2
2025-03-04,Custom Fine-tuned,Data Analysis Tool,715,198770,283140,0.9014,0.8819,0.0252,1075,3
2025-03-05,GPT-4,Customer Support Bot,3416,734440,601216,0.9276,0.9,0.032,1653,17
2025-03-05,GPT-4,Content Generation,1499,971352,1038807,0.9257,0.9052,0.0257,1529,3
2025-03-05,GPT-4,Code Review Assistant,1231,424695,485014,0.9034,0.8829,0.0296,1618,4
2025-03-05,GPT-4,Data Analysis Tool,822,231804,443880,0.9142,0.8798,0.0339,1630,4
2025-03-05,Claude-3.5,Customer Support Bot,2503,550660,558169,0.898,0.8795,0.0369,1409,12
2025-03-05,Claude-3.5,Content Generation,1909,1187398,1630286,0.8959,0.8801,0.0326,1435,10
2025-03-05,Claude-3.5,Code Review Assistant,1173,614652,480930,0.8967,0.8868,0.0411,1438,2
2025-03-05,Claude-3.5,Data Analysis Tool,695,197380,313445,0.9168,0.9189,0.0363,1467,4
2025-03-05,Gemini-Pro,Customer Support Bot,3224,896272,451360,0.8914,0.8487,0.0419,1337,19
2025-03-05,Gemini-Pro,Content Generation,1649,1025678,1197174,0.8715,0.8563,0.0447,1271,8
2025-03-05,Gemini-Pro,Code Review Assistant,1131,475020,477282,0.8749,0.8511,0.0392,1253,4
2025-03-05,Gemini-Pro,Data Analysis Tool,871,224718,459888,0.8936,0.886,0.0422,1681,3
2025-03-05,Custom Fine-tuned,Customer Support Bot,2445,748170,552570,0.9094,0.8882,0.0262,1031,21
2025-03-05,Custom Fine-tuned,Content Generation,1546,1028090,1354296,0.9122,0.8788,0.0208,1270,12
2025-03-05,Custom Fine-tuned,Code Review Assistant,1182,436158,330960,0.9087,0.8734,0.0251,1364,2
2025-03-05,Custom Fine-tuned,Data Analysis Tool,752,210560,269216,0.8935,0.8864,0.0292,1210,2
2025-03-06,GPT-4,Customer Support Bot,3382,1055184,639198,0.905,0.8855,0.0287,1759,3
2025-03-06,GPT-4,Content Generation,1758,1163796,1925010,0.9313,0.9107,0.028,1634,15
2025-03-06,GPT-4,Code Review Assistant,1201,477998,435963,0.9186,0.904,0.0268,1717,5
2025-03-06,GPT-4,Data Analysis Tool,835,253840,356545,0.935,0.9358,0.016,1963,5
2025-03-06,Claude-3.5,Customer Support Bot,3211,757796,459173,0.8922,0.8595,0.0296,1762,20
2025-03-06,Claude-3.5,Content Generation,1833,912834,1312428,0.9049,0.8886,0.0288,1606,8
2025-03-06,Claude-3.5,Code Review Assistant,1221,520146,395604,0.9116,0.8947,0.0294,1592,7
2025-03-06,Claude-3.5,Data Analysis Tool,882,214326,470106,0.8982,0.8922,0.0324,1657,3
2025-03-06,Gemini-Pro,Customer Support Bot,2659,723248,393532,0.8975,0.8785,0.0296,1654,14
2025-03-06,Gemini-Pro,Content Generation,1531,972185,1214083,0.891,0.8716,0.0408,1422,6
2025-03-06,Gemini-Pro,Code Review Assistant,1113,330561,283815,0.8874,0.864,0.0411,1372,5
2025-03-06,Gemini-Pro,Data Analysis Tool,766,202224,357722,0.8702,0.8455,0.0426,1144,5
2025-03-06,Custom Fine-tuned,Customer Support Bot,3051,872586,811566,0.9201,0.8999,0.0154,1008,12
2025-03-06,Custom Fine-tuned,Content Generation,1609,859206,1333861,0.9024,0.896,0.0219,989,5
2025-03-06,Custom Fine-tuned,Code Review Assistant,920,425960,260360,0.9363,0.9093,0.0267,1227,3
2025-03-06,Custom Fine-tuned,Data Analysis Tool,720,219600,489600,0.909,0.8713,0.0306,1094,3
